tag.number.full,DT,Location,Type,Num_Detect,Date,Species,Gender,Length,Time,sponser,name,school,school_class,Location2,Name,LAT,LONG,color
900_228000637836,2021-04-19T03:52:57Z,J1,HA,3								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:58Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:58Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:59Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:53:01Z,J1,HA,2								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:53:05Z,J1,HA,11								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:55:24Z,J1,HA,343								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:55:25Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:05:41Z,J1,HA,1527								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:05:44Z,J1,HA,5								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:05:45Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:05:49Z,J1,HA,10								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:17Z,J1,HA,68								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:23Z,J1,HA,13								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:24Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:30Z,J1,HA,14								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:32Z,J1,HA,4								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:34Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:06:40Z,J1,HA,12								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:07:31Z,J1,HA,123								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:07:33Z,J1,HA,4								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:07:36Z,J1,HA,3								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:08:31Z,J1,HA,134								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:11:24Z,J1,HA,430								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:11:25Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:22:10Z,J1,HA,1601								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T04:22:45Z,J2,HA,.								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
900_228000637836,2021-04-19T04:24:44Z,J3,HA,.								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,11,Top JP Crossing,41.5898,-70.572418,#fec44f
900_228000637836,2021-04-19T04:24:46Z,J3,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,11,Top JP Crossing,41.5898,-70.572418,#fec44f
900_228000637836,2021-04-19T04:24:46Z,J3,HA,2								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,11,Top JP Crossing,41.5898,-70.572418,#fec44f
900_228000637836,2021-04-19T04:25:25Z,J4,HA,.								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
900_228000637837,2021-04-19T06:32:55Z,J1,HA,102								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:33:00Z,J1,HA,10								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:34:45Z,J1,HA,259								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:34:50Z,J1,HA,11								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:34:53Z,J1,HA,8								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:34:55Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:35:39Z,J1,HA,109								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:35:41Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:35:46Z,J1,HA,13								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:35:47Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:41Z,J1,HA,132								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:43Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:45Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:45Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:49Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:52Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:53Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:54Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:36:55Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:10Z,J1,HA,35								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:20Z,J1,HA,24								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:22Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:23Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:26Z,J1,HA,7								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:34Z,J1,HA,17								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:35Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:45Z,J1,HA,22								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:54Z,J1,HA,20								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:56Z,J1,HA,4								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:58Z,J1,HA,4								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:37:59Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:00Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:00Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:02Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:39Z,J1,HA,93								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:42Z,J1,HA,6								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:43Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:44Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:45Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:47Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:55Z,J1,HA,18								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:38:56Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:45:58Z,J1,HA,1048								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:00Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:13Z,J1,HA,32								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:21Z,J1,HA,16								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:22Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:24Z,J1,HA,5								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:29Z,J1,HA,11								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:31Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:33Z,J1,HA,5								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:37Z,J1,HA,9								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:39Z,J1,HA,4								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:41Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:44Z,J1,HA,7								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:46:45Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:47:52Z,J1,HA,166								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:05Z,J1,HA,28								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:10Z,J1,HA,9								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:11Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:14Z,J1,HA,5								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:15Z,J1,HA,2								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:16Z,J1,HA,3								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:23Z,J1,HA,14								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:25Z,J1,HA,6								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:27Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:48:27Z,J1,HA,1								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637837,2021-04-19T06:49:45Z,J2,HA,2441								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
900_228000637837,2021-04-19T06:55:35Z,J3,HA,3122								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,11,Top JP Crossing,41.5898,-70.572418,#fec44f
900_228000637837,2021-04-19T06:55:46Z,J4,HA,2930								,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
900_228000637837,2021-04-20T23:33:22Z,D1,HA,6798,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,20,Coon Pond Box,41.619134,-70.572175,#e34a33
900_228000637837,2021-04-20T23:38:50Z,D2,HA,8111,4/18/21,A,N,28.2,20:12:00,,Hero,Mullen_Hall,Mullen_Stevens,21,Coon Pond,41.619134,-70.572175,#e34a33
900_228000637838,2021-04-19T05:29:14Z,J1,HA,9823								,4/18/21,A,F,28.2,20:14:00,,Bloop,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637838,2021-04-19T05:29:16Z,J1,HA,4								,4/18/21,A,F,28.2,20:14:00,,Bloop,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637838,2021-04-19T05:33:06Z,J1,HA,570								,4/18/21,A,F,28.2,20:14:00,,Bloop,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637838,2021-04-19T05:33:08Z,J1,HA,2								,4/18/21,A,F,28.2,20:14:00,,Bloop,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
